ga,bmi,tau,q_y
10.0,30.208805577903597,0.05,0.02838063177234919
10.1,30.208805577903597,0.05,0.02838063177234919
10.2,30.208805577903597,0.05,0.02838063177234919
10.3,30.208805577903597,0.05,0.02838063177234919
10.4,30.208805577903597,0.05,0.02838063177234919
10.5,30.208805577903597,0.05,0.02838063177234919
10.6,30.208805577903597,0.05,0.02838063177234919
10.7,30.208805577903597,0.05,0.02838063177234919
10.8,30.208805577903597,0.05,0.02838063177234919
10.9,30.208805577903597,0.05,0.02838063177234919
11.0,30.208805577903597,0.05,0.02838063177234919
11.1,30.208805577903597,0.05,0.028546306761329025
11.2,30.208805577903597,0.05,0.02870554324070128
11.3,30.208805577903597,0.05,0.028858359795243628
11.4,30.208805577903597,0.05,0.02900478201299833
11.5,30.208805577903597,0.05,0.029144842314866214
11.6,30.208805577903597,0.05,0.029278579777010504
11.7,30.208805577903597,0.05,0.029406039946739196
11.8,30.208805577903597,0.05,0.029527274652529665
11.9,30.208805577903597,0.05,0.02964234180885197
12.0,30.208805577903597,0.05,0.029751305216434883
12.1,30.208805577903597,0.05,0.029854234358609042
12.2,30.208805577903597,0.05,0.029951204194348293
12.3,30.208805577903597,0.05,0.0300422949486156
12.4,30.208805577903597,0.05,0.030127591900605592
12.5,30.208805577903597,0.05,0.03020718517045835
12.6,30.208805577903597,0.05,0.030281169505001895
12.7,30.208805577903597,0.05,0.030349644063064257
12.8,30.208805577903597,0.05,0.030412712200873833
12.9,30.208805577903597,0.05,0.03047048125805127
13.0,30.208805577903597,0.05,0.030523062344672267
13.1,30.208805577903597,0.05,0.03057057012986345
13.2,30.208805577903597,0.05,0.030613122632370114
13.3,30.208805577903597,0.05,0.03065084101351572
13.4,30.208805577903597,0.05,0.030683849372949813
13.5,30.208805577903597,0.05,0.03071227454756225
13.6,30.208805577903597,0.05,0.03073624591391742
13.7,30.208805577903597,0.05,0.030755895194543678
13.8,30.208805577903597,0.05,0.03077135626839094
13.9,30.208805577903597,0.05,0.03078276498574767
14.0,30.208805577903597,0.05,0.03079025898789037
14.100000000000001,30.208805577903597,0.05,0.030793977531715908
14.2,30.208805577903597,0.05,0.030794061319588617
14.3,30.208805577903597,0.05,0.030794061319588617
14.4,30.208805577903597,0.05,0.030794061319588617
