ga,p_cond,p_marg
10.0,0.9327643815893841,0.7159691191544514
10.1,0.9365707481934022,0.7204708280581017
10.2,0.9402072464467711,0.7249599501242284
10.3,0.9436783511850586,0.7294350957199895
10.4,0.9469886227207827,0.7338948697174389
10.5,0.9501426909731535,0.7383378732809074
10.6,0.9531452400898976,0.7427627057060979
10.7,0.9560009936052596,0.7471679663070292
10.8,0.9587147001733889,0.7515522563466243
10.9,0.9612911199114283,0.7559141810064116
11.0,0.9637350113817525,0.7602523513904857
11.1,0.9660553603776959,0.7645722245198918
11.2,0.9682591820580958,0.7688773211707112
11.3,0.9703485724044757,0.7731634081983518
11.4,0.972325995684315,0.7774263320758676
11.5,0.974194241410264,0.7816620274250339
11.6,0.9759563816551128,0.7858665252300638
11.7,0.977615729157788,0.7900359606802696
11.8,0.979175796616112,0.7941665805899341
11.9,0.9806402575183286,0.7982547503462536
12.0,0.9820129088185903,0.8022969603391799
12.1,0.9832976357130009,0.8062898318305103
12.2,0.9844983787235081,0.81023012222343
12.3,0.9856191032480772,0.814114729697998
12.4,0.9866637716880894,0.8179406971826358
12.5,0.9876363182186875,0.8217052156365227
12.6,0.9885406262255485,0.8254056266228393
12.7,0.9893805083928976,0.829039424157993
12.8,0.9901596893929113,0.83260425582718
12.9,0.9908817910963255,0.836097923161924
13.0,0.991550320198185,0.8395183812803939
13.1,0.9921686581313285,0.8428637377963815
13.2,0.9927400531232894,0.8461322510076787
13.3,0.9932676142396626,0.8493223273792256
13.4,0.9937543072483724,0.8524325183407095
13.5,0.9942029521343716,0.8554615164222577
13.6,0.9946162220927384,0.858408150755434
13.7,0.994996643829529,0.8612713819698788
13.8,0.9953465990036684,0.8640502965185963
13.9,0.9956683266492097,0.866744100467072
14.0,0.9959639264250663,0.8693521127830904
14.100000000000001,0.9962353625484069,0.8718737581652831
14.2,0.996484468277965,0.874308559449101
14.3,0.9967129508241918,0.8766561296290902
14.4,0.9969223965741897,0.8789161635359798
14.5,0.9971142765304333,0.8810884292063601
14.600000000000001,0.9972899518731829,0.8831727589814513
14.7,0.9974506795670419,0.8851690403698576
14.8,0.9975976179421399,0.8870772067071782
14.9,0.9977318321898144,0.8888972276430092
15.0,0.9978542997213272,0.8906290994832422
15.100000000000001,0.9979659153460109,0.8922728354126752
15.2,0.9980674962322571,0.8938284556198834
