ga,bmi,eta,mean_y,mean_y_lo,mean_y_hi,p_cond,p_marg
10.0,30.208805577903597,-2.553956536931532,0.07216113093979665,0.058463120274992175,0.088766027743645,0.8650449461368079,0.7700356672367444
10.1,30.208805577903597,-2.553956536931532,0.07216113093979665,0.058463120274992175,0.088766027743645,0.8650449461368079,0.7704930712468753
10.2,30.208805577903597,-2.553956536931532,0.07216113093979665,0.058463120274992175,0.088766027743645,0.8650449461368079,0.7709469557218235
10.3,30.208805577903597,-2.553956536931532,0.07216113093979665,0.058463120274992175,0.088766027743645,0.8650449461368079,0.7713972526777436
10.4,30.208805577903597,-2.553956536931532,0.07216113093979665,0.058463120274992175,0.088766027743645,0.8650449461368079,0.7718438944005973
10.5,30.208805577903597,-2.553956536931532,0.07216113093979665,0.058463120274992175,0.088766027743645,0.8650449461368079,0.7722868134715116
10.6,30.208805577903597,-2.553956536931532,0.07216113093979665,0.058463120274992175,0.088766027743645,0.8650449461368079,0.772725942792616
10.7,30.208805577903597,-2.553956536931532,0.07216113093979665,0.058463120274992175,0.088766027743645,0.8650449461368079,0.7731612156134091
10.8,30.208805577903597,-2.553956536931532,0.07216113093979665,0.058463120274992175,0.088766027743645,0.8650449461368079,0.7735925655576333
10.9,30.208805577903597,-2.553956536931532,0.07216113093979665,0.058463120274992175,0.088766027743645,0.8650449461368079,0.774019926650711
11.0,30.208805577903597,-2.553956536931532,0.07216113093979665,0.058463120274992175,0.088766027743645,0.8650449461368079,0.7744432333477218
11.1,30.208805577903597,-2.552654306648566,0.07224836893056046,0.059730959424087515,0.08714584467495498,0.8657332091904936,0.7754303656042896
11.2,30.208805577903597,-2.5508946828270083,0.07236640276147431,0.060954867681178394,0.08571930719738577,0.866660126110903,0.7766128146004426
11.3,30.208805577903597,-2.5487012663161326,0.07251378391070097,0.06212976585027519,0.08447700363782779,0.8678105671402218,0.7779796868743892
11.4,30.208805577903597,-2.5460976579652246,0.07268908599677686,0.06325018428372857,0.0834111421896668,0.8691689531833626,0.7795198527061643
11.5,30.208805577903597,-2.5431074586235574,0.07289089924342836,0.06431030881489902,0.08251539152863957,0.8707193646070998,0.7812219857238777
11.6,30.208805577903597,-2.539754269140413,0.07311782525125493,0.06530414599899673,0.0817846123319276,0.8724456446492196,0.7830746014336541
11.7,30.208805577903597,-2.536061690365069,0.07336847206456625,0.06622588195965537,0.08121440437606921,0.8743314979023523,0.7850660947686261
11.8,30.208805577903597,-2.5320533231468088,0.07364144952401978,0.06707050701551788,0.08080039608295497,0.8763605841872905,0.7871847767041854
11.9,30.208805577903597,-2.5277527683349077,0.0739353648979323,0.06783472283948262,0.0805372588815566,0.8785166079839843,0.7894189099402833
12.0,30.208805577903597,-2.523183626778643,0.0742488187872105,0.06851801187224629,0.08041756586333279,0.8807834034499417,0.7917567436079835
