ga,beta_marginal,quantile
10.0,0.7553693751389766,0.8104285250464677
10.1,0.7556335259580693,0.8104285250464677
10.2,0.7558938826625915,0.8104285250464677
10.3,0.7561503943894771,0.8104285250464677
10.4,0.7564030102787842,0.8104285250464677
10.5,0.7566516794865311,0.8104285250464677
10.6,0.7568963511984913,0.8104285250464677
10.7,0.7571369746449339,0.8104285250464677
10.8,0.757373499116367,0.8104285250464677
10.9,0.7576058739802587,0.8104285250464677
11.0,0.7578340486987457,0.8104285250464677
11.1,0.7606992431988469,0.8116967913389171
11.2,0.763658627740573,0.813175563109882
11.3,0.7667022082942908,0.8148932423951586
11.4,0.769820022685358,0.8168808357498117
11.5,0.7730021637762204,0.8191716048805185
11.6,0.7762388023502919,0.8218003896874532
11.7,0.7795202095329384,0.8248024831932664
11.8,0.7828367785737549,0.8282119214661268
11.9,0.7861790458069761,0.8320590502176985
12.0,0.7895377106032622,0.836367257466072
12.1,0.7929036541261488,0.8411488371470472
12.2,0.7962679567099243,0.8464000917110102
12.3,0.7996219136824498,0.8524185125979369
12.4,0.8029570494659023,0.858559254966538
12.5,0.8062651298005367,0.8639076325489736
12.6,0.8095381719505721,0.8685464055067271
12.7,0.8127684527670057,0.8725490991067986
12.8,0.8159485144989592,0.8759811543819112
12.9,0.8190711682626702,0.8789009208442854
13.0,0.822129495094881,0.881360515005835
13.1,0.8251168445349546,0.8834065646002074
13.2,0.8280268306969587,0.885080855216138
13.3,0.8308533258089797,0.8864208934132177
13.4,0.8335904512117789,0.8874603982005681
13.5,0.8362325658223226,0.8882297309354491
13.6,0.8387742520795312,0.8887562721771919
13.7,0.841210299399752,0.8890647527590653
13.8,0.8435356851776895,0.8892263431013011
13.9,0.8457455533752349,0.8893413239013135
14.0,0.847835190745322,0.8894145643652023
14.100000000000001,0.8498000007410191,0.8894497597169219
14.2,0.8516354751616578,0.8894497597169219
14.3,0.8533371635878529,0.8894497597169219
14.4,0.8549006406560449,0.8894497597169219
14.5,0.8563214712211129,0.8894497597169219
14.600000000000001,0.8575951734525856,0.8894497597169219
14.7,0.858717179906773,0.8894497597169219
14.8,0.8596827966137977,0.8894497597169219
14.9,0.8604871602157338,0.8894497597169219
15.0,0.8611251931904708,0.8894497597169219
15.100000000000001,0.8615915571960656,0.8894497597169219
15.2,0.861880604573167,0.8894497597169219
15.3,0.8619863280496619,0.8894497597169219
15.4,0.8619023087029296,0.8894497597169219
15.5,0.861621662252456,0.8894497597169219
15.600000000000001,0.8611396783836088,0.8894497597169219
15.7,0.8604619250668286,0.8894497597169219
15.8,0.8595963054702925,0.8894497597169219
15.9,0.8585504564581293,0.8894497597169219
16.0,0.8573318259810305,0.8894497597169219
16.1,0.8559477467985108,0.8894497597169219
16.2,0.8544055063954448,0.8894497597169219
16.3,0.8527124129429727,0.8894497597169219
16.4,0.8508758571403994,0.8894497597169219
16.5,0.8489033697623575,0.8894497597169219
16.6,0.8468026747263663,0.8894497597169219
16.7,0.8445817374908907,0.8894497597169219
16.8,0.8422488085950106,0.8894497597169219
16.9,0.8398124621580241,0.8894497597169219
17.0,0.8372816291717144,0.8894497597169219
17.1,0.8346656254395942,0.8894497597169219
17.2,0.8319741740459181,0.8894497597169219
17.3,0.8292174222724539,0.8894497597169219
17.4,0.8264059529215334,0.8894497597169219
17.5,0.8235507900489987,0.8894497597169219
17.6,0.8206633991586749,0.8894497597169219
17.7,0.8177556819592425,0.8894497597169219
17.8,0.814839965833068,0.8894497597169219
17.9,0.8119289882128434,0.8894497597169219
18.0,0.8090358761038219,0.8894497597169219
18.1,0.8061741210252946,0.8894497597169219
18.200000000000003,0.8033575496732208,0.8894497597169219
18.3,0.800600290625095,0.8894497597169219
18.4,0.7979167374172643,0.8894497597169219
18.5,0.7953215083233162,0.8894497597169219
18.6,0.7928294031491339,0.8894497597169219
18.700000000000003,0.7904553573361573,0.8894497597169219
18.8,0.7882143936290565,0.8894497597169219
18.9,0.786121571518263,0.8894497597169219
19.0,0.7841919346124243,0.8894497597169219
19.1,0.7824404560317252,0.8894497597169219
19.200000000000003,0.7808819818418291,0.8894497597169219
19.3,0.7795311724711182,0.8894497597169219
19.4,0.7784024419734316,0.8894497597169219
19.5,0.7775098949159293,0.8894497597169219
19.6,0.7768672605903801,0.8894497597169219
19.700000000000003,0.776487824168273,0.8894497597169219
19.8,0.7763843543491578,0.8894497597169219
19.9,0.7765690269911842,0.8894497597169219
20.0,0.7770533441669755,0.8894497597169219
20.1,0.7778438700614088,0.8894497597169219
20.200000000000003,0.7789297260960775,0.8894497597169219
20.3,0.7802953230718365,0.8894497597169219
20.4,0.7819246443601906,0.8894497597169219
20.5,0.783801326115071,0.8894497597169219
20.6,0.7859087341111589,0.8894497597169219
20.700000000000003,0.788230037790383,0.8894497597169219
20.8,0.7907482819625661,0.8894497597169219
20.9,0.7934464564699264,0.8894497597169219
21.0,0.7963075639918656,0.8894497597169219
21.1,0.799314686040012,0.8894497597169219
21.200000000000003,0.8024510470766363,0.8894497597169219
21.3,0.8057000765859319,0.8894497597169219
21.4,0.8090454688388224,0.8894497597169219
21.5,0.8124712400206106,0.8894497597169219
21.6,0.8159617823381284,0.8894497597169219
21.700000000000003,0.8195019146894055,0.8894497597169219
21.8,0.8230769294650772,0.8894497597169219
21.9,0.8266726350552763,0.8894497597169219
22.0,0.8302753936578655,0.8894497597169219
22.1,0.8338721540213636,0.8910962435838183
22.200000000000003,0.8374504788062332,0.8933593846459029
22.3,0.8409985663090633,0.8959554143792197
22.4,0.8445052663621477,0.8989597869143382
22.5,0.8479600902935266,0.901611800650634
22.6,0.8513532149069,0.9039686336038526
22.700000000000003,0.8546754805143217,0.9063379681296222
22.8,0.8579183831251987,0.9087209964601511
22.9,0.8610740609608936,0.9111191245208281
23.0,0.8641352755238308,0.9135339707219943
23.1,0.8670953875019984,0.9159673664815629
23.200000000000003,0.869948327833559,0.9184213585651043
23.3,0.8726885642910237,0.9208982133428713
23.4,0.8753110639698247,0.9234004230801118
23.5,0.8778112520819166,0.9259307143981558
23.6,0.8801849674611592,0.9284920590695921
23.700000000000003,0.8824284151838173,0.9310876873419874
23.8,0.8845381166950329,0.9337211040216762
23.9,0.8865108578109355,0.9363961075932572
24.0,0.8883436349370506,0.93911681270272
24.1,0.8900335998077419,0.9418876763941937
24.200000000000003,0.8915780030096865,0.944713528564064
24.3,0.8929741365062116,0.9475996071841775
24.4,0.8942192753299432,1.0
24.5,0.8953106185602216,1.0
24.6,0.8962478906559795,1.0
24.700000000000003,0.8970410952708241,1.0
24.8,0.8977022458720602,1.0
24.9,0.898242744991218,1.0
25.0,0.8986734667210808,1.0
