ga,group,model_form,p_marg
10.0,G1,linear_monotone,0.8105450615324736
10.1,G1,linear_monotone,0.8110761599888937
10.2,G1,linear_monotone,0.8116050819717119
10.3,G1,linear_monotone,0.8121339867830589
10.4,G1,linear_monotone,0.8126622681960598
10.5,G1,linear_monotone,0.8131889720699789
10.6,G1,linear_monotone,0.8137156759438979
10.7,G1,linear_monotone,0.814241111689652
10.8,G1,linear_monotone,0.8147656074820878
10.9,G1,linear_monotone,0.8152901032745237
11.0,G1,linear_monotone,0.8158126821785577
11.1,G1,linear_monotone,0.8163349628938549
11.2,G1,linear_monotone,0.8168568959840865
11.3,G1,linear_monotone,0.8173769547750701
11.4,G1,linear_monotone,0.8178970135660536
11.5,G1,linear_monotone,0.8184160749986309
11.6,G1,linear_monotone,0.8189339051666694
11.7,G1,linear_monotone,0.8194517353347079
11.8,G1,linear_monotone,0.8199679146212046
11.9,G1,linear_monotone,0.820483509616255
12.0,G1,linear_monotone,0.8209990381210246
12.1,G1,linear_monotone,0.8215123915416593
12.2,G1,linear_monotone,0.8220257449622941
12.3,G1,linear_monotone,0.8225383774320622
12.4,G1,linear_monotone,0.823049483025478
12.5,G1,linear_monotone,0.8235605886188937
12.6,G1,linear_monotone,0.8240703152517738
12.7,G1,linear_monotone,0.8245791669137833
12.8,G1,linear_monotone,0.8250880185757928
12.9,G1,linear_monotone,0.8255948298482638
13.0,G1,linear_monotone,0.8261014216232702
13.1,G1,linear_monotone,0.8266075739841533
13.2,G1,linear_monotone,0.8271119000651063
13.3,G1,linear_monotone,0.8276162261460592
13.4,G1,linear_monotone,0.8281194505928028
13.5,G1,linear_monotone,0.8286215053211391
13.6,G1,linear_monotone,0.8291235600494754
13.7,G1,linear_monotone,0.829623847744618
13.8,G1,linear_monotone,0.830123625610184
13.9,G1,linear_monotone,0.8306232502187746
14.0,G1,linear_monotone,0.8311207458597325
14.1,G1,linear_monotone,0.8316182415006904
14.2,G1,linear_monotone,0.8321149177298707
14.3,G1,linear_monotone,0.8326101259325879
14.4,G1,linear_monotone,0.833105334135305
14.5,G1,linear_monotone,0.8335990538325243
14.6,G1,linear_monotone,0.8340919695314466
14.7,G1,linear_monotone,0.8345848852303689
14.8,G1,linear_monotone,0.8350756405203245
14.9,G1,linear_monotone,0.8355662587978333
15.0,G1,linear_monotone,0.836056344273396
15.1,G1,linear_monotone,0.8365446603596494
15.2,G1,linear_monotone,0.8370329764459026
15.3,G1,linear_monotone,0.8375200872162232
15.4,G1,linear_monotone,0.8380060964889806
15.5,G1,linear_monotone,0.8384921057617379
15.6,G1,linear_monotone,0.8389762346337146
15.7,G1,linear_monotone,0.839459932618147
15.8,G1,linear_monotone,0.8399433882905315
15.9,G1,linear_monotone,0.8404247706590152
16.0,G1,linear_monotone,0.8409061530274989
16.1,G1,linear_monotone,0.8413866174232233
16.2,G1,linear_monotone,0.8418656799951192
16.3,G1,linear_monotone,0.8423447425670151
16.4,G1,linear_monotone,0.8428222091725068
16.5,G1,linear_monotone,0.8432989479139239
16.6,G1,linear_monotone,0.8437756866553411
16.7,G1,linear_monotone,0.8442501492316727
16.8,G1,linear_monotone,0.8447245602552176
16.9,G1,linear_monotone,0.845198344296579
17.0,G1,linear_monotone,0.8456704238610901
17.1,G1,linear_monotone,0.8461425034256013
17.2,G1,linear_monotone,0.8466132753768111
17.3,G1,linear_monotone,0.8470830198870789
17.4,G1,linear_monotone,0.8475527643973468
17.5,G1,linear_monotone,0.8480205186942438
17.6,G1,linear_monotone,0.8484879247007167
17.7,G1,linear_monotone,0.8489549978596326
17.8,G1,linear_monotone,0.8494200620581085
17.9,G1,linear_monotone,0.8498851262565843
18.0,G1,linear_monotone,0.8503491746088402
18.1,G1,linear_monotone,0.8508118938401448
18.2,G1,linear_monotone,0.8512746130714492
18.3,G1,linear_monotone,0.8517356317235857
18.4,G1,linear_monotone,0.8521960029732367
18.5,G1,linear_monotone,0.852656338154271
18.6,G1,linear_monotone,0.8531143585521294
18.7,G1,linear_monotone,0.8535723789499876
18.8,G1,linear_monotone,0.8540296781814218
18.9,G1,linear_monotone,0.8544853450013298
19.0,G1,linear_monotone,0.8549410118212376
19.1,G1,linear_monotone,0.8553952708757104
19.2,G1,linear_monotone,0.8558485815351158
19.3,G1,linear_monotone,0.8563018921945211
19.4,G1,linear_monotone,0.8567531071133302
19.5,G1,linear_monotone,0.857204059172899
19.6,G1,linear_monotone,0.8576545871615003
19.7,G1,linear_monotone,0.8581031783247159
19.8,G1,linear_monotone,0.858551769487932
19.9,G1,linear_monotone,0.858999248380107
20.0,G1,linear_monotone,0.8594454764928585
20.1,G1,linear_monotone,0.8598917046056098
20.2,G1,linear_monotone,0.8603361311014077
20.3,G1,linear_monotone,0.8607799941515626
20.4,G1,linear_monotone,0.861223732149715
20.5,G1,linear_monotone,0.8616652282666846
20.6,G1,linear_monotone,0.8621067243836541
20.7,G1,linear_monotone,0.862547405910554
20.8,G1,linear_monotone,0.8629865333648435
20.9,G1,linear_monotone,0.8634256608191331
21.0,G1,linear_monotone,0.8638632832277765
21.1,G1,linear_monotone,0.8643000404305256
21.2,G1,linear_monotone,0.8647367976332745
21.3,G1,linear_monotone,0.8651713585396579
21.4,G1,linear_monotone,0.8656057440421682
21.5,G1,linear_monotone,0.8660396143335114
21.6,G1,linear_monotone,0.8664716268267649
21.7,G1,linear_monotone,0.8669036393200185
21.8,G1,linear_monotone,0.8673344452957651
21.9,G1,linear_monotone,0.86776408360993
22.0,G1,linear_monotone,0.8681937219240948
22.1,G1,linear_monotone,0.8686214618442492
22.2,G1,linear_monotone,0.8690487249481758
22.3,G1,linear_monotone,0.8694757734351821
22.4,G1,linear_monotone,0.8699006604358878
22.5,G1,linear_monotone,0.8703255474365934
22.6,G1,linear_monotone,0.8707495279198858
22.7,G1,linear_monotone,0.87117203806203
22.8,G1,linear_monotone,0.8715945482041743
22.9,G1,linear_monotone,0.8720154595808973
23.0,G1,linear_monotone,0.8724355922462463
23.1,G1,linear_monotone,0.8728557249115954
23.2,G1,linear_monotone,0.8732735663351984
23.3,G1,linear_monotone,0.8736913210420798
23.4,G1,linear_monotone,0.8741084702252572
23.5,G1,linear_monotone,0.8745238466280052
23.6,G1,linear_monotone,0.8749392230307533
23.7,G1,linear_monotone,0.8753533015420527
23.8,G1,linear_monotone,0.8757662994304436
23.9,G1,linear_monotone,0.8761792973188346
24.0,G1,linear_monotone,0.8765903049385024
24.1,G1,linear_monotone,0.8770009242371803
24.2,G1,linear_monotone,0.8774112395282254
24.3,G1,linear_monotone,0.8778194802961192
24.4,G1,linear_monotone,0.878227721064013
24.5,G1,linear_monotone,0.8786349655859577
24.6,G1,linear_monotone,0.8790408280156893
24.7,G1,linear_monotone,0.8794466904454208
24.8,G1,linear_monotone,0.8798508645975086
24.9,G1,linear_monotone,0.8802543490147913
25.0,G1,linear_monotone,0.8806578309992176
10.0,G2,linear_monotone,0.7881502238102934
10.1,G2,linear_monotone,0.7887132515395487
10.2,G2,linear_monotone,0.7892748531715457
10.3,G2,linear_monotone,0.7898358143116233
10.4,G2,linear_monotone,0.7903967754517008
10.5,G2,linear_monotone,0.7909556996593374
10.6,G2,linear_monotone,0.7915145847182159
10.7,G2,linear_monotone,0.7920729020963447
10.8,G2,linear_monotone,0.7926297017265191
10.9,G2,linear_monotone,0.7931865013566936
11.0,G2,linear_monotone,0.7937421211166767
11.1,G2,linear_monotone,0.794296826115548
11.2,G2,linear_monotone,0.7948515311144192
11.3,G2,linear_monotone,0.7954044388205729
11.4,G2,linear_monotone,0.7959570401308174
11.5,G2,linear_monotone,0.7965093342203147
11.6,G2,linear_monotone,0.7970598229302341
11.7,G2,linear_monotone,0.7976103116401536
11.8,G2,linear_monotone,0.7981598743885214
11.9,G2,linear_monotone,0.7987082417323725
12.0,G2,linear_monotone,0.7992566090762235
12.1,G2,linear_monotone,0.7998034267212457
12.2,G2,linear_monotone,0.8003496640795502
12.3,G2,linear_monotone,0.8008958615917605
12.4,G2,linear_monotone,0.8014399604915959
12.5,G2,linear_monotone,0.8019840593914314
12.6,G2,linear_monotone,0.8025274934254057
12.7,G2,linear_monotone,0.8030694455406756
12.8,G2,linear_monotone,0.8036113976559455
12.9,G2,linear_monotone,0.8041520551269934
13.0,G2,linear_monotone,0.8046918522786787
13.1,G2,linear_monotone,0.805231649430364
13.2,G2,linear_monotone,0.8057695175295093
13.3,G2,linear_monotone,0.8063071516859006
13.4,G2,linear_monotone,0.8068443887598412
13.5,G2,linear_monotone,0.8073798520367509
13.6,G2,linear_monotone,0.8079153153136606
13.7,G2,linear_monotone,0.8084497459632283
