ga,retain_all,exclude_unhealthy
10.0,0.7696552529169496,0.7735799072057457
10.1,0.7701122620296118,0.7740413853862351
10.2,0.7705657563378996,0.7744992832457079
10.3,0.771015667908776,0.7749535321545373
10.4,0.7714619290779923,0.7754040637692122
10.5,0.771904472475369,0.7758508100585181
10.6,0.7723432310505923,0.7762937033301344
10.7,0.7727781380995125,0.7767326762576741
10.8,0.7732091272909872,0.7771676619081594
10.9,0.7736361326942771,0.777598593769934
11.0,0.7740590888070105,0.7780254057810345
11.1,0.7737942400858145,0.7784874093744
11.2,0.7738451889252095,0.7792438816240908
11.3,0.7741992045599209,0.7802806375817591
11.4,0.7748428257620366,0.7815829034448882
11.5,0.7757619481092817,0.7831353975523144
11.6,0.7769419063880512,0.7849224081131038
11.7,0.7783675528819275,0.7869278682344057
11.8,0.7800233322073418,0.7891354286928514
11.9,0.7818933532517695,0.7915285287665905
12.0,0.7839614586527601,0.7940904653160339
12.1,0.7862112921334287,0.7968044601756513
12.2,0.7886263638868786,0.7996537258005587
12.3,0.7911901140823047,0.8026215290035188
12.4,0.7938859744530029,0.8056912525232091
12.5,0.7966974278241572,0.8088464540851323
12.6,0.7996080653484432,0.8120709225538788
12.7,0.8026016411421412,0.8153487307303461
12.8,0.8056621239547127,0.8186642843200599
12.9,0.8087737454612436,0.8220023665882331
13.0,0.811921044739997,0.8253481782228113
13.1,0.8150889084857053,0.8286873719464467
13.2,0.818262606512372,0.8320060814503678
13.3,0.8214278221155793,0.8352909442651011
13.4,0.8245706768917145,0.8385291182322635
13.5,0.8276777496482811,0.8417082912960326
13.6,0.8307360890829045,0.8448166843896953
13.7,0.8337332199570631,0.8478430472498342
13.8,0.8366571425412132,0.8507766470460778
13.9,0.8394963251593276,0.8536072497664665
14.0,0.8422396897108628,0.8563250943455677
14.100000000000001,0.8448765900952375,0.8589208595638741
14.2,0.8473967835071256,0.8613856237814117
14.3,0.8497903946088585,0.8637108175957456
14.4,0.8520478726186262,0.8658881695339065
14.5,0.8541599413795204,0.8679096448994915
14.600000000000001,0.8561175424945451,0.869767377900106
14.7,0.8579117716268059,0.871453597177124
14.8,0.8595338080727365,0.8729605448500237
14.9,0.8609748377200335,0.8742803891727305
15.0,0.8622259695025393,0.8754051308810376
15.100000000000001,0.863278145463093,0.8763265032905369
15.2,0.8641220445347626,0.8770358661869662
15.3,0.8647479801539646,0.877524093538658
15.4,0.8651457918291985,0.8777814550590974
15.5,0.8653047308110979,0.8777974916617489
15.600000000000001,0.8652171284116311,0.8775646275777652
15.7,0.864889706849433,0.8770893628156624
15.8,0.8643323217193551,0.8763812077569568
15.9,0.8635542957295579,0.8754490888951826
16.0,0.8625645310414924,0.8743014806967967
16.1,0.8613716168604586,0.8729465317390431
16.2,0.8599839320624437,0.8713921849868425
16.3,0.8584097426340986,0.8696462920260725
16.4,0.8566572936867661,0.86771672102033
16.5,0.8547348957875316,0.8656114581081398
16.6,0.852651005333668,0.8633387019126993
16.7,0.8504142986853236,0.8609069508008947
16.8,0.8480337397671838,0.8583250825058141
16.9,0.845518640855291,0.8556024257199674
17.0,0.8428787162813243,0.8527488232765954
17.1,0.8401241288145243,0.8497746865646587
17.2,0.8372655285205889,0.8466910408693351
17.3,0.8343140839472141,0.8435095613931797
17.4,0.831281505545922,0.8402425997917569
17.5,0.8281800613077179,0.8369032011488202
17.6,0.8250225846639399,0.833505111416857
17.7,0.8218224747803186,0.8300627754549141
17.8,0.8185936894493282,0.8265913259029172
17.9,0.8153507308599195,0.8231065632356196
18.0,0.8121086245920004,0.8196249274352576
18.1,0.8088828922423477,0.816163461805852
18.200000000000003,0.8056895181366499,0.8127397695197093
18.3,0.8025449106166365,0.8093719635350355
18.4,0.7994658584100983,0.8060786105498717
18.5,0.7964694825936293,0.8028786696600579
18.6,0.7935731846424577,0.7997914263666712
18.700000000000003,0.7907945910284699,0.7968364225311659
18.8,0.7881514947768556,0.7940333828047504
18.9,0.7856617943241423,0.7914021379638079
19.0,0.7833434299373181,0.7889625454670987
19.1,0.7812143178563311,0.786734407415658
19.200000000000003,0.7792922822126538,0.7847373859455736
19.3,0.777594984656939,0.7829909159206548
19.4,0.7761398515014725,0.7815141146202769
19.5,0.7749439980512559,0.7803256879419166
19.6,0.7740241496642659,0.7794438324630153
19.700000000000003,0.773396558950605,0.7788861325388199
19.8,0.7730769183961884,0.7786694514581868
19.9,0.7730802675844879,0.778809815545842
20.0,0.7734208940951021,0.779322289996022
20.1,0.7741073364225376,0.7802152879172624
20.200000000000003,0.7751277211968306,0.7814739245823829
20.3,0.7764646319394939,0.7830769665941996
20.4,0.7781001181826491,0.7850025513331731
20.5,0.7800157890370817,0.7872283144587776
20.6,0.7821929025043975,0.7897315118460138
20.700000000000003,0.7846124514219212,0.792489137102849
20.8,0.7872552467324965,0.7954780354970511
20.9,0.7901019985751359,0.7986750148105086
21.0,0.7931333955016772,0.8020569533444446
21.1,0.796330181944206,0.805600905028766
21.200000000000003,0.799673233892087,0.8092842013496405
21.3,0.8031436325900326,0.8130845496074913
21.4,0.8067227359427008,0.8169801268571981
21.5,0.8103922472094256,0.8209496687662654
21.6,0.8141342804964876,0.8249725525560677
21.700000000000003,0.8179314225045498,0.8290288731652952
21.8,0.8217667899654029,0.8330995117909183
21.9,0.8256240822036028,0.8371661960158855
22.0,0.8294876282832956,0.8412115508191477
22.1,0.8333424282450247,0.8452191398755435
22.200000000000003,0.8371741879987986,0.8491734966837341
22.3,0.8409693475136377,0.8530601452023244
22.4,0.844715102026711,0.856865609821059
22.5,0.8483994160826979,0.8605774146393026
22.6,0.8520110303029305,0.8641840721631386
22.700000000000003,0.855539460870744,0.8676750616614014
22.8,0.8589749918022922,0.871040797537305
22.9,0.8623086601486031,0.8742725881738377
23.0,0.8655322343440846,0.8773625857972079
23.1,0.8686381859780183,0.8803037279720631
23.200000000000003,0.8716196553186331,0.883089671394956
23.3,0.8744704109638074,0.885714718687539
23.4,0.8771848040282424,0.8881737389081589
23.5,0.879757717303717,0.8904620824987386
23.6,0.8821845098465506,0.8925754913629967
23.700000000000003,0.8844609574540386,0.8945100047315472
23.8,0.8865831894890317,0.8962618614097044
23.9,0.8885476224983359,0.8978273989255225
24.0,0.890350891046133,0.8992029500003541
24.1,0.8919897761480149,0.900384736654209
24.200000000000003,0.8934611316448504,0.9013687621363315
24.3,0.8947618087994345,0.9021507007412051
24.4,0.8958885793337907,0.9027257854353867
24.5,0.8968380570527534,0.9030886930854214
24.6,0.8976100610426699,0.9032376422366446
24.700000000000003,0.8982176680830404,0.9031868264386357
24.8,0.8986765624331001,0.9029536479343458
24.9,0.8990016702014438,0.9025546875620606
25.0,0.8992072831732267,0.9020059077690544
