ga,all_records,only_10_25
10.0,0.7553693751389766,0.8022424717628452
10.1,0.7556335259580693,0.8025573476828946
10.2,0.7558938826625915,0.8028679133273394
10.3,0.7561503943894771,0.8031741165553008
10.4,0.7564030102787842,0.8034759051888045
10.5,0.7566516794865311,0.8037732270110758
10.6,0.7568963511984913,0.8040660297653934
10.7,0.7571369746449339,0.8043542611545286
10.8,0.757373499116367,0.8046378688408895
10.9,0.7576058739802587,0.8049168004473898
11.0,0.7578340486987457,0.8051910035591305
11.1,0.7606992431988469,0.7990328967026061
11.2,0.763658627740573,0.7937290558302039
11.3,0.7667022082942908,0.7892817025247987
11.4,0.769820022685358,0.7856830617761716
11.5,0.7730021637762204,0.7829166603925792
11.6,0.7762388023502919,0.7809585143449141
11.7,0.7795202095329384,0.7797781999093111
11.8,0.7828367785737549,0.7793398127110231
11.9,0.7861790458069761,0.7796028246428512
12.0,0.7895377106032622,0.780522851814098
12.1,0.7929036541261488,0.7820523477972708
12.2,0.7962679567099243,0.7841412360123751
12.3,0.7996219136824498,0.7867374935710667
12.4,0.8029570494659023,0.7897876966681346
12.5,0.8062651298005367,0.7932375349641976
12.6,0.8095381719505721,0.7970322996067517
12.7,0.8127684527670057,0.8011173467971401
12.8,0.8159485144989592,0.8054385362984275
12.9,0.8190711682626702,0.8099426421257222
13.0,0.822129495094881,0.8145777309602218
13.1,0.8251168445349546,0.8192935026369734
13.2,0.8280268306969587,0.8240415863930933
13.3,0.8308533258089797,0.8287757864103092
13.4,0.8335904512117789,0.83345227049443
13.5,0.8362325658223226,0.8380296964294488
13.6,0.8387742520795312,0.8424692715309849
13.7,0.841210299399752,0.846734742096971
13.8,0.8435356851776895,0.8507923107036315
13.9,0.8457455533752349,0.8546104805162587
14.0,0.847835190745322,0.8581598268812022
14.100000000000001,0.8498000007410191,0.8614126973568935
14.2,0.8516354751616578,0.8643428419658611
14.3,0.8533371635878529,0.8669249757670633
14.4,0.8549006406560449,0.8691342758451805
14.5,0.8563214712211129,0.8709462043251999
14.600000000000001,0.8575951734525856,0.8723551882075145
14.7,0.858717179906773,0.8733824500888177
14.8,0.8596827966137977,0.8740491255017082
14.9,0.8604871602157338,0.8743742531805998
15.0,0.8611251931904708,0.8743750478285756
15.100000000000001,0.8615915571960656,0.8740671625150606
15.2,0.861880604573167,0.8734649401911254
15.3,0.8619863280496619,0.8725816540999419
15.4,0.8619023087029296,0.8714297370138041
15.5,0.861621662252456,0.8700209992791326
15.600000000000001,0.8611396783836088,0.8683668356247405
15.7,0.8604619250668286,0.8664784206103762
15.8,0.8595963054702925,0.864366892482528
15.9,0.8585504564581293,0.8620435250801008
16.0,0.8573318259810305,0.8595198873089681
16.1,0.8559477467985108,0.8568079895939616
16.2,0.8544055063954448,0.8539204166304782
16.3,0.8527124129429727,0.8508704457035844
16.4,0.8508758571403994,0.8476721498270672
16.5,0.8489033697623575,0.8443404849817788
16.6,0.8468026747263663,0.8408913608042154
16.7,0.8445817374908907,0.8373416941911229
16.8,0.8422488085950106,0.8337094454412839
16.9,0.8398124621580241,0.8300136367451248
17.0,0.8372816291717144,0.8262743530487395
17.1,0.8346656254395942,0.822512725550646
