group,median_bmi,ga,p_marg
G1,29.201728077691,10.0,0.7110084373241029
G1,29.201728077691,10.1,0.7171858417005376
G1,29.201728077691,10.2,0.72333116634412
G1,29.201728077691,10.3,0.7294417726822989
G1,29.201728077691,10.4,0.7355152109062469
G1,29.201728077691,10.5,0.7415489247513357
G1,29.201728077691,10.6,0.7475404449477276
G1,29.201728077691,10.7,0.7534872588719421
G1,29.201728077691,10.8,0.7593869498960705
G1,29.201728077691,10.9,0.7652369769564803
G1,29.201728077691,11.0,0.771035041624196
G1,29.201728077691,11.1,0.7767786473059207
G1,29.201728077691,11.2,0.7824655634240989
G1,29.201728077691,11.3,0.7880934409751749
G1,29.201728077691,11.4,0.793660068795954
G1,29.201728077691,11.5,0.799163292209001
G1,29.201728077691,11.6,0.8046009595009244
G1,29.201728077691,11.7,0.8099709877817793
G1,29.201728077691,11.8,0.8152714516907127
G1,29.201728077691,11.9,0.8205003895218238
G1,29.201728077691,12.0,0.8256560650584959
G1,29.201728077691,12.1,0.8307365863038915
G1,29.201728077691,12.2,0.8357403927163184
G1,29.201728077691,12.3,0.8406658308184533
G1,29.201728077691,12.4,0.8455114238756081
G1,29.201728077691,12.5,0.8502758230096785
G1,29.201728077691,12.6,0.8501745348050403
G1,29.201728077691,12.7,0.850066214796814
G1,29.201728077691,12.8,0.849950780832135
G1,29.201728077691,12.9,0.849828174793405
G1,29.201728077691,13.0,0.8496983462503872
G1,29.201728077691,13.1,0.8495611675187108
G1,29.201728077691,13.2,0.8494166164702751
G1,29.201728077691,13.3,0.849264677702637
G1,29.201728077691,13.4,0.8491052117262307
G1,29.201728077691,13.5,0.8489381666338158
G1,29.201728077691,13.6,0.8487634781677609
G1,29.201728077691,13.7,0.848581082670358
G1,29.201728077691,13.8,0.8483909715878101
G1,29.201728077691,13.9,0.8481929943721792
G1,29.201728077691,14.0,0.8479871882326371
G1,29.201728077691,14.1,0.8477734452049565
G1,29.201728077691,14.2,0.8475517001082086
G1,29.201728077691,14.3,0.8473219138900947
G1,29.201728077691,14.4,0.8470840595622711
G1,29.201728077691,14.5,0.8468380329380836
G1,29.201728077691,14.6,0.8465838377061042
G1,29.201728077691,14.7,0.8463213935426338
G1,29.201728077691,14.8,0.8460506818561602
G1,29.201728077691,14.9,0.8457716072708077
G1,29.201728077691,15.0,0.845484206034737
G1,29.201728077691,15.1,0.8451884007579419
G1,29.201728077691,15.2,0.8448841228827966
G1,29.201728077691,15.3,0.8445713721027345
G1,29.201728077691,15.4,0.8442501344928844
G1,29.201728077691,15.5,0.843920336450918
G1,29.201728077691,15.6,0.8435820093040877
G1,29.201728077691,15.7,0.8432350718428631
G1,29.201728077691,15.8,0.8428795127304604
G1,29.201728077691,15.9,0.8425152849683832
G1,29.201728077691,16.0,0.8421425068612598
G1,29.201728077691,16.1,0.8417610151506558
G1,29.201728077691,16.2,0.8413708355918279
G1,29.201728077691,16.3,0.8409719817735009
G1,29.201728077691,16.4,0.8405644250160242
G1,29.201728077691,16.5,0.8401481796903557
G1,29.201728077691,16.6,0.8397232039646992
G1,29.201728077691,16.7,0.8392895596637475
G1,29.201728077691,16.8,0.8388472071153276
G1,29.201728077691,16.9,0.8383961345590912
G1,29.201728077691,17.0,0.8379363815515374
G1,29.201728077691,17.1,0.8374679627405566
G1,29.201728077691,17.2,0.8369908960939751
G1,29.201728077691,17.3,0.8365051950225952
G1,29.201728077691,17.4,0.8360108291139943
G1,29.201728077691,17.5,0.8355078460066159
G1,29.201728077691,17.6,0.8349962736645279
G1,29.201728077691,17.7,0.8344761706768119
G1,29.201728077691,17.8,0.8339475155091323
G1,29.201728077691,17.9,0.8334103338810496
G1,29.201728077691,18.0,0.8328647032808351
G1,29.201728077691,18.1,0.8323106086750675
G1,29.201728077691,18.2,0.831748129484586
G1,29.201728077691,18.3,0.8311772790927597
G1,29.201728077691,18.4,0.8305980880249522
G1,29.201728077691,18.5,0.8300106027961224
G1,29.201728077691,18.6,0.8294148726658513
G1,29.201728077691,18.7,0.8288109925283295
G1,29.201728077691,18.8,0.8281989174070045
G1,29.201728077691,18.9,0.8275787579250924
G1,29.201728077691,19.0,0.8269505459137969
G1,29.201728077691,19.1,0.8263143289527916
G1,29.201728077691,19.2,0.8256701833324178
G1,29.201728077691,19.3,0.8250181436224069
G1,29.201728077691,19.4,0.8243582605163436
G1,29.201728077691,19.5,0.823690630414947
G1,29.201728077691,19.6,0.823015295137112
G1,29.201728077691,19.7,0.8223323257877241
G1,29.201728077691,19.8,0.8216417502083108
G1,29.201728077691,19.9,0.8209436587526916
G1,29.201728077691,20.0,0.8202381185164664
G1,29.201728077691,20.1,0.8225145136122853
G1,29.201728077691,20.2,0.824763681350843
G1,29.201728077691,20.3,0.826985644510655
G1,29.201728077691,20.4,0.8291803308007384
G1,29.201728077691,20.5,0.8313477594075084
G1,29.201728077691,20.6,0.8334878854477984
G1,29.201728077691,20.7,0.8356007673560687
G1,29.201728077691,20.8,0.8376863878875138
G1,29.201728077691,20.9,0.8397448266846559
G1,29.201728077691,21.0,0.8417760911069234
G1,29.201728077691,21.1,0.8437802547434988
G1,29.201728077691,21.2,0.8457574399957919
G1,29.201728077691,21.3,0.8477076259301762
G1,29.201728077691,21.4,0.8496309619527719
G1,29.201728077691,21.5,0.8515275358580519
G1,29.201728077691,21.6,0.8533974407913368
G1,29.201728077691,21.7,0.8552408182025575
G1,29.201728077691,21.8,0.8570578026771548
G1,29.201728077691,21.9,0.8588485353161965
G1,29.201728077691,22.0,0.8606131365557949
G1,29.201728077691,22.1,0.8623518001652674
G1,29.201728077691,22.2,0.8640646652928786
G1,29.201728077691,22.3,0.8657519567242523
G1,29.201728077691,22.4,0.8674138494575573
G1,29.201728077691,22.5,0.8690505118081048
G1,29.201728077691,22.6,0.8706621624709501
G1,29.201728077691,22.7,0.8722490254072247
G1,29.201728077691,22.8,0.8738112924296249
G1,29.201728077691,22.9,0.8753492349360221
G1,29.201728077691,23.0,0.8768630916888486
G1,29.201728077691,23.1,0.8783530217325717
G1,29.201728077691,23.2,0.8798193794837018
G1,29.201728077691,23.3,0.8812623590435155
G1,29.201728077691,23.4,0.8826822191098889
G1,29.201728077691,23.5,0.8840792328639758
G1,29.201728077691,23.6,0.8854536821977816
G1,29.201728077691,23.7,0.8868058320280741
G1,29.201728077691,23.8,0.8881359450311297
G1,29.201728077691,23.9,0.8894443345228176
G1,29.201728077691,24.0,0.8907311965140274
G1,29.201728077691,24.1,0.8919969184687265
G1,29.201728077691,24.2,0.8932417397503593
G1,29.201728077691,24.3,0.8944658734011953
G1,29.201728077691,24.4,0.8956697685820949
G1,29.201728077691,24.5,0.8968535791897894
G1,29.201728077691,24.6,0.8980176367154613
G1,29.201728077691,24.7,0.8991622468956562
G1,29.201728077691,24.8,0.9002876426687758
G1,29.201728077691,24.9,0.9013941292896427
G1,29.201728077691,25.0,0.9024820367910436
G2,32.681884203989554,10.0,0.6608926917384669
G2,32.681884203989554,10.1,0.6673841596332907
G2,32.681884203989554,10.2,0.6738598383594573
G2,32.681884203989554,10.3,0.6803172070725475
G2,32.681884203989554,10.4,0.6867535166978005
G2,32.681884203989554,10.5,0.6931663219648455
G2,32.681884203989554,10.6,0.6995528507379792
G2,32.681884203989554,10.7,0.7059105103699248
G2,32.681884203989554,10.8,0.7122364922357478
G2,32.681884203989554,10.9,0.7185282292812092
G2,32.681884203989554,11.0,0.7247830175108202
G2,32.681884203989554,11.1,0.7309981638955754
G2,32.681884203989554,11.2,0.7371709892014622
G2,32.681884203989554,11.3,0.7432988502329632
G2,32.681884203989554,11.4,0.7493790703192436
G2,32.681884203989554,11.5,0.7554091068579863
G2,32.681884203989554,11.6,0.7613863108574381
G2,32.681884203989554,11.7,0.7673080729121445
G2,32.681884203989554,11.8,0.7731720724255062
